---------------------------------------------
TOKEN			CLASSIFICAÇÃO			LINHA
---------------------------------------------
program			Palavra-chave			1
laudoido			Identificador			1
;			Delimitador			1
var			Palavra-chave			2
i			Identificador			3
:			Delimitador			3
integer			Palavra-chave			3
;			Delimitador			3
j			Identificador			4
:			Delimitador			4
real			Palavra-chave			4
;			Delimitador			4
X_I4S_			Identificador			5
:			Delimitador			5
real			Palavra-chave			5
;			Delimitador			5
begin			Palavra-chave			6
X_I4S_			Identificador			7
=			Operador relacional			7
1234567890.0987654321			Numero real			7
+			Operador aditivo			7
0.1			Numero real			7
;			Delimitador			7
for			Identificador			8
(			Delimitador			8
i			Identificador			8
:=			Operador de atribuicao			8
0			Numero inteiro			8
,			Delimitador			8
j			Identificador			8
:=			Operador de atribuicao			8
X_I4S			Identificador			8
-			Operador aditivo			8
0.1987654321			Numero real			8
;			Delimitador			8
i			Identificador			8
<			Operador relacional			8
j			Identificador			8
/			Operador multiplicativo			8
2			Numero inteiro			8
;			Delimitador			8
i			Identificador			8
:=			Operador de atribuicao			8
1			Numero inteiro			8
+			Operador aditivo			8
j			Identificador			8
/			Operador multiplicativo			8
3			Numero inteiro			8
)			Delimitador			8
do			Palavra-chave			9
j			Identificador			10
:=			Operador de atribuicao			10
X_I4S_			Identificador			10
/			Operador multiplicativo			10
j			Identificador			10
;			Delimitador			10
if			Palavra-chave			11
(			Delimitador			11
j			Identificador			11
<=			Operador relacional			11
0.00000001			Numero real			11
)			Delimitador			11
then			Palavra-chave			12
j			Identificador			13
:=			Operador de atribuicao			13
0			Numero inteiro			13
;			Delimitador			13
else			Palavra-chave			14
if			Palavra-chave			14
(			Delimitador			14
j			Identificador			14
<>			Operador relacional			14
1			Numero inteiro			14
)			Delimitador			14
then			Palavra-chave			15
j			Identificador			15
:=			Operador de atribuicao			15
1			Numero inteiro			15
;			Delimitador			15
end			Palavra-chave			16
.			Delimitador			16
var			Palavra-chave			17
lau			Identificador			17
:=			Operador de atribuicao			17
oi			Identificador			17
;			Delimitador			17
lau			Identificador			18
:=			Operador de atribuicao			18
25.			Numero real			18
;			Delimitador			18
